city;property_type;area_sqm;rooms;floor;floor_count;build_year;latitude;longitude;distance_to_center;poi_count;distance_to_school;distance_to_healthcare;distance_to_post_office;distance_to_kindergarten;distance_to_restaurant;distance_to_college;distance_to_pharmacy;ownership_type;building_material;condition;has_parking;has_balcony;has_elevator;has_security;has_storage;price;listing_year;listing_month;address;price_per_sqm;source_dataset;property_description;heating_type;source_url;voivodeship;offer_type;building_type;market_type;city_population;maintenance_fee;available_from;advertiser_type;additional_info;window_type;energy_certificate;furnishing;utilities;quarter;primary_price;secondary_price;inflation;housing_inflation;avg_salary;population;unemployment;interest_rate
lodz;apartmentBuilding;41.35;3.0;5.0;5.0;2023.0;51.7481521259693;19.4715984401728;3.89;7.0;0.171;0.174;0.972;0.416;0.519;0.97;0.41;condominium;brick;low;yes;yes;yes;yes;no;434070.0;2023;8;;10497.460701330108;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;41.0;2.0;1.0;4.0;1964.0;51.7313113040464;19.4942393682786;6.21;18.0;0.118;1.369;0.405;0.083;0.145;1.796;0.113;condominium;;;yes;yes;no;no;yes;255000.00000000003;2023;8;;6219.512195121952;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;52.05;2.0;1.0;10.0;;51.7571091342526;19.532410314083;5.99;30.0;0.122;0.053;0.301;0.072;0.126;1.898;0.084;cooperative;;;no;yes;yes;no;yes;439000.0;2023;8;;8434.197886647455;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;36.0;2.0;;4.0;1970.0;51.736282367638;19.4878242673106;5.52;19.0;0.199;1.031;0.045;0.225;0.119;1.522;0.125;condominium;concreteSlab;;yes;yes;no;no;yes;295000.0;2023;8;;8194.444444444445;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;63.0;3.0;1.0;4.0;2020.0;51.7594644048972;19.4818809824361;3.08;16.0;0.371;0.365;0.561;0.307;0.231;1.138;0.445;condominium;brick;;yes;yes;yes;no;no;560000.0;2023;8;;8888.888888888889;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;60.0;4.0;2.0;4.0;1970.0;51.7883028199693;19.4592788813699;0.82;17.0;0.239;0.344;0.351;0.13;0.584;0.705;0.173;condominium;concreteSlab;;yes;yes;no;no;yes;595000.0;2023;8;;9916.666666666666;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;44.0;3.0;3.0;4.0;1978.0;51.7296821987987;19.4714046126228;5.88;22.0;0.222;0.617;0.176;0.092;0.354;0.218;0.138;cooperative;concreteSlab;premium;no;yes;no;no;yes;419000.0;2023;8;;9522.727272727272;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;42.0;2.0;1.0;4.0;;51.8169030106303;19.4302183145562;4.28;11.0;0.332;0.585;0.185;0.279;0.235;3.069;0.227;condominium;concreteSlab;;no;yes;no;no;yes;285000.0;2023;8;;6785.714285714285;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;48.15;2.0;7.0;10.0;1978.0;51.788256957382;19.4432000190895;1.09;17.0;0.245;0.564;0.38;0.265;0.199;0.37;0.056;condominium;concreteSlab;premium;no;yes;yes;no;yes;429000.0;2023;8;;8909.657320872275;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;69.92;3.0;6.0;7.0;2017.0;51.7950676011033;19.4490798944256;1.56;23.0;0.046;0.735;0.047;0.15;0.228;1.147;0.238;condominium;;premium;yes;yes;yes;yes;no;749000.0;2023;8;;10712.242562929061;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;44.0;2.0;2.0;2.0;2020.0;51.7792533345659;19.3952336755055;4.1;3.0;0.702;1.616;0.432;1.264;0.431;1.132;0.521;condominium;brick;low;yes;yes;yes;yes;no;430000.0;2023;8;;9772.727272727272;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;apartmentBuilding;88.0;4.0;3.0;3.0;2012.0;51.7505599511306;19.5747160157443;8.94;4.0;1.161;2.757;0.675;0.203;0.938;4.529;0.287;condominium;brick;premium;no;yes;yes;yes;yes;749000.0;2023;8;;8511.363636363636;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;53.0;3.0;4.0;4.0;;51.7905;19.396;4.16;7.0;0.155;2.388;0.648;0.264;0.326;0.121;0.439;cooperative;;;no;yes;no;no;yes;390000.0;2023;8;;7358.490566037736;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;49.52;2.0;4.0;4.0;2020.0;51.79293;19.43788;1.72;10.0;0.329;0.525;0.571;0.137;0.421;0.995;0.382;condominium;;;no;no;;no;no;396000.0;2023;8;;7996.768982229401;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;37.2;2.0;;10.0;1972.0;51.7609;19.4326;2.75;5.0;0.37;0.819;0.234;0.531;0.477;1.964;0.689;condominium;concreteSlab;;yes;no;yes;no;yes;240000.0;2023;8;;6451.612903225806;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;tenement;86.8;4.0;1.0;1.0;1920.0;51.7709492;19.4617189;1.27;41.0;0.31;0.717;0.17;0.032;0.195;0.807;0.18;condominium;brick;;no;yes;no;no;no;570000.0;2023;8;;6566.820276497696;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;blockOfFlats;61.0;3.0;4.0;4.0;;51.7325;19.4626;5.48;13.0;0.309;0.772;0.161;0.098;0.338;0.484;0.101;cooperative;;;yes;no;no;no;yes;430000.0;2023;8;;7049.180327868852;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
lodz;;49.0;3.0;;;;51.7337863071108;19.4446594627076;5.35;17.0;0.204;1.955;0.512;0.078;0.284;0.475;0.214;condominium;;;no;no;;no;no;340000.0;2023;8;;6938.775510204082;;;;;ŁÓDZKIE;;;;;;;;;;;;;3 kwartał;7827.0;6412.0;99,6;100,1;7117,82;2362519.0;5,47;6,71
